Error Type,Topic Guid,Message
Warning,00c33e26-dacb-47d4-97b8-84659095b108,Found a an ul list inside a table in html file:00c33e26-dacb-47d4-97b8-84659095b108.xml
Warning,00c33e26-dacb-47d4-97b8-84659095b108,Found nested table in md file:00c33e26-dacb-47d4-97b8-84659095b108.md
Warning,0112182a-6246-4d8a-8c07-39622be3c4a1,Found a an ul list inside a table in html file:0112182a-6246-4d8a-8c07-39622be3c4a1.xml
Warning,0112182a-6246-4d8a-8c07-39622be3c4a1,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt; </p> in md file:0112182a-6246-4d8a-8c07-39622be3c4a1.md total found:0
Warning,0317c126-78ed-47e0-9109-fe143ddb0259,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;ContentDbName&gt;</i> in md file:0317c126-78ed-47e0-9109-fe143ddb0259.md total found:0
Warning,0317c126-78ed-47e0-9109-fe143ddb0259,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;ContentDbName&gt;</i> in md file:0317c126-78ed-47e0-9109-fe143ddb0259.md total found:0
Warning,0317c126-78ed-47e0-9109-fe143ddb0259,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;NewProvider&gt;</i> in md file:0317c126-78ed-47e0-9109-fe143ddb0259.md total found:0
Warning,0317c126-78ed-47e0-9109-fe143ddb0259,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;NewProvider&gt;</i> in md file:0317c126-78ed-47e0-9109-fe143ddb0259.md total found:0
Warning,04812402-43d6-4605-960c-1dd5ec65bef1,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>There is a highly consistent intra-farm latency of &lt;1ms (one way)- 99.9% of the time over a period of ten minutes. (Intra-farm latency is commonly defined as the latency between the front-end web servers and the database servers.) </p> in md file:04812402-43d6-4605-960c-1dd5ec65bef1.md total found:0
Warning,04812402-43d6-4605-960c-1dd5ec65bef1,Found nested table in md file:04812402-43d6-4605-960c-1dd5ec65bef1.md
