VBA Project,GUID,Friendly name
SharePoint16ITPro,d359cdaa-0ebd-4c59-8fc5-002cba241b18,overview-of-rbs-in-sharepoint-server
SharePoint16ITPro,f687788b-f9b6-4a63-94d2-008939108c65,add-edit-or-delete-a-content-source-in-sharepoint-server
SharePoint16ITPro,b17a56ea-2e7f-43c6-9a17-00ae1f5c4089,configure-and-use-the-documentum-connector-in-sharepoint-server
SharePoint16ITPro,44c05570-37c1-49dd-8015-015f8908199c,delete-and-restore-site-collections-in-sharepoint-server
SharePoint16ITPro,156f69fe-1831-472f-8e42-01c138d408ed,some-content-databases-are-growing-too-large-sharepoint-server-2016
SharePoint16ITPro,cf19810b-5548-447c-a94d-026ad6e9d096,customize-search-result-types-in-sharepoint-server
SharePoint16ITPro,502fcb0a-c20a-433d-aac1-02ba20d81a7e,manage-query-suggestions-in-sharepoint-server
SharePoint16ITPro,ee3bd227-1ba9-4eff-9d60-02cd32f64171,databases-running-in-compatibility-range-upgrade-recommended-sharepoint-server-2
SharePoint16ITPro,84972766-6527-4791-ae68-02d3a50b67f0,install-microsoft-identity-manager-for-user-profiles-in-sharepoint-server-2016
SharePoint16ITPro,73cfd7b3-be90-480a-b415-039fa97d9b89,enable-search-alerts-in-sharepoint-server
SharePoint16ITPro,f8249a19-005f-4ae0-b7c0-04a683691fbf,the-net-pipe-listener-adapter-isn-t-available-sharepoint-server-2016
SharePoint16ITPro,5f0402ca-90c6-4528-b1de-04d4f28fb2a6,manage-a-connection-to-a-document-center-or-a-records-center-in-sharepoint-serve
SharePoint16ITPro,9e952b26-fb0e-48a5-89b1-054f54f9b986,overview-of-visio-services-in-sharepoint-server
SharePoint16ITPro,5020140d-24c4-4817-8bb4-05e1c225d1f2,deployment-considerations-for-implementing-microsoft-identity-manager-with-share
SharePoint16ITPro,7eea752e-5bdc-48b1-99cb-05e6c3669c4a,enable-trusted-locations-for-performancepoint-services
SharePoint16ITPro,5c23f9ea-d019-4750-abdf-0633bffa84f4,test-lab-guide-configure-sharepoint-server-2013-in-a-three-tier-farm
SharePoint16ITPro,ec3a8cb2-141f-4c4b-a3c3-068ea89121cf,the-unattended-service-account-application-id-is-not-specified-or-has-an-invalid
